"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28816","user registers a new account and deletes it","","2026-03-12","failed","2026-03-12","AutomationExercise registration","features/automationexercise/ui/register.feature.spec.js","",""
"","14492","user cannot log in with incorrect email and password","","2026-03-12","failed","2026-03-12","AutomationExercise login","features/automationexercise/ui/login.feature.spec.js","",""
"","7505","user logs in with an existing (persisted) account","","2026-03-12","failed","2026-03-12","AutomationExercise login","features/automationexercise/ui/login.feature.spec.js","",""
"","31311","API returns the same books as the database for author ""Rahul Shetty""","","2026-03-12","failed","2026-03-12","Bookstore end-to-end tests > API returns the same books as the database for author ""<author>""","features/bookstore/e2e/bookstore-e2e-tests.feature.spec.js","",""
"","1487","user completes the practice page flow","","2026-03-12","failed","2026-03-12","Practice page end-to-end tests","features/letsshop/e2e/practice-page-e2e-tests.feature.spec.js","",""
"","63","Add Pet, Get Pet, Delete Pet and confirm not found","","2026-03-12","passed","2026-03-12","Petstore end-to-end tests","features/petstore/e2e/petstore-e2e-tests.feature.spec.js","",""
"","33324","user registers a new account and is logged in","","2026-03-12","failed","2026-03-12","AutomationExercise registration","features/automationexercise/ui/register.feature.spec.js","",""
"","31296","API returns the same books as the database for author ""John Doe""","","2026-03-12","failed","2026-03-12","Bookstore end-to-end tests > API returns the same books as the database for author ""<author>""","features/bookstore/e2e/bookstore-e2e-tests.feature.spec.js","",""
"","72","Add Pet and Update Pet then Get Pet by id","","2026-03-12","passed","2026-03-12","Petstore end-to-end tests","features/petstore/e2e/petstore-e2e-tests.feature.spec.js","",""
"","1273","Add Pet and Get Pet by id","","2026-03-12","passed","2026-03-12","Petstore end-to-end tests","features/petstore/e2e/petstore-e2e-tests.feature.spec.js","",""
"","1432","user places an order for two products","","2026-03-12","failed","2026-03-12","shopping cart end-to-end tests","features/letsshop/e2e/shopping-cart-e2e-tests.feature.spec.js","",""
